Date,Close
03/11/2016,1.1225
04/11/2016,1.128
07/11/2016,1.1232
08/11/2016,1.1232
09/11/2016,1.1366
10/11/2016,1.1477
11/11/2016,1.1592
14/11/2016,1.1613
15/11/2016,1.1544
16/11/2016,1.1641
17/11/2016,1.1652
18/11/2016,1.1644
21/11/2016,1.1744
22/11/2016,1.1735
23/11/2016,1.1772
24/11/2016,1.1801
25/11/2016,1.1744
28/11/2016,1.1728
29/11/2016,1.1779
30/11/2016,1.178
01/12/2016,1.1893
02/12/2016,1.1873
05/12/2016,1.1848
06/12/2016,1.1845
07/12/2016,1.1711
08/12/2016,1.1829
09/12/2016,1.1925
12/12/2016,1.1942
13/12/2016,1.1921
14/12/2016,1.1926
15/12/2016,1.1915
16/12/2016,1.1944
19/12/2016,1.1874
20/12/2016,1.1905
21/12/2016,1.1862
22/12/2016,1.1757
23/12/2016,1.1725
28/12/2016,1.1764
29/12/2016,1.1657
30/12/2016,1.1651
03/01/2017,1.1786
04/01/2017,1.1737
05/01/2017,1.1719
06/01/2017,1.1649
09/01/2017,1.1508
10/01/2017,1.15
11/01/2017,1.1524
12/01/2017,1.147
13/01/2017,1.1468
16/01/2017,1.1375
17/01/2017,1.1583
18/01/2017,1.1545
19/01/2017,1.1597
20/01/2017,1.1539
23/01/2017,1.1624
24/01/2017,1.1638
25/01/2017,1.1735
26/01/2017,1.1797
27/01/2017,1.1725
30/01/2017,1.1709
31/01/2017,1.1646
01/02/2017,1.1756
02/02/2017,1.1595
03/02/2017,1.1592
06/02/2017,1.1588
07/02/2017,1.1629
08/02/2017,1.1705
09/02/2017,1.1748
10/02/2017,1.1748
13/02/2017,1.179
14/02/2017,1.1799
15/02/2017,1.1772
16/02/2017,1.1716
17/02/2017,1.17
20/02/2017,1.1744
21/02/2017,1.1833
22/02/2017,1.1811
23/02/2017,1.1846
24/02/2017,1.1818
27/02/2017,1.1749
28/02/2017,1.1713
01/03/2017,1.1669
02/03/2017,1.1672
03/03/2017,1.1606
06/03/2017,1.1562
07/03/2017,1.1526
08/03/2017,1.1527
09/03/2017,1.1483
10/03/2017,1.1417
13/03/2017,1.1466
14/03/2017,1.143
15/03/2017,1.1497
16/03/2017,1.1519
17/03/2017,1.1516
20/03/2017,1.15
21/03/2017,1.1545
22/03/2017,1.1551
23/03/2017,1.1611
24/03/2017,1.1559
27/03/2017,1.1548
28/03/2017,1.1535
29/03/2017,1.1545
30/03/2017,1.1636
31/03/2017,1.1694
03/04/2017,1.1718
04/04/2017,1.1673
05/04/2017,1.1703
06/04/2017,1.1724
07/04/2017,1.167
10/04/2017,1.1724
11/04/2017,1.1751
12/04/2017,1.1781
13/04/2017,1.1782
18/04/2017,1.1931
19/04/2017,1.1957
20/04/2017,1.1927
21/04/2017,1.1955
24/04/2017,1.1764
25/04/2017,1.174
26/04/2017,1.1822
27/04/2017,1.1868
28/04/2017,1.1881
02/05/2017,1.1848
03/05/2017,1.1821
04/05/2017,1.18
05/05/2017,1.1796
08/05/2017,1.1839
09/05/2017,1.1891
10/05/2017,1.1912
11/05/2017,1.1849
12/05/2017,1.1802
15/05/2017,1.1766
16/05/2017,1.1656
17/05/2017,1.1637
18/05/2017,1.1681
19/05/2017,1.1635
22/05/2017,1.1573
23/05/2017,1.1559
24/05/2017,1.1579
25/05/2017,1.1546
26/05/2017,1.1435
30/05/2017,1.1507
31/05/2017,1.1481
01/06/2017,1.1494
02/06/2017,1.1424
05/06/2017,1.1492
06/06/2017,1.1445
07/06/2017,1.1505
08/06/2017,1.1538
09/06/2017,1.1393
12/06/2017,1.1312
13/06/2017,1.1359
14/06/2017,1.1338
15/06/2017,1.1446
16/06/2017,1.143
19/06/2017,1.1425
20/06/2017,1.134
21/06/2017,1.1366
22/06/2017,1.1348
23/06/2017,1.1373
26/06/2017,1.137
27/06/2017,1.132
28/06/2017,1.139
29/06/2017,1.1374
30/06/2017,1.1391
03/07/2017,1.138
04/07/2017,1.1389
05/07/2017,1.1409
06/07/2017,1.1355
